Lat [deg],Lon [deg],Alt Ellips [m]
42.16107603,-79.97121016,189.6651
42.16106896,-79.97122947,189.6547
42.16106188,-79.9712488,189.6465
42.16105483,-79.97126807,189.638
42.16104776,-79.97128739,189.6323
42.16104066,-79.97130668,189.6241
42.16103358,-79.97132596,189.6044
42.16102651,-79.97134524,189.5849
42.16101944,-79.97136455,189.5685
42.16101239,-79.97138385,189.5584
42.16100528,-79.97140319,189.5498
42.16099819,-79.97142252,189.5439
42.1609911,-79.97144185,189.5284
42.16098404,-79.97146115,189.5176
42.16097697,-79.97148048,189.5076
42.16096989,-79.97149983,189.4889
42.16096282,-79.97151917,189.4668
42.16095576,-79.97153847,189.4509
42.16094871,-79.97155779,189.4328
42.16094164,-79.97157713,189.418
42.16093454,-79.97159647,189.4024
42.16092746,-79.97161584,189.3818
42.16092039,-79.97163519,189.3609
42.16091331,-79.97165456,189.349
42.16090622,-79.9716739,189.3334
42.16089911,-79.97169325,189.3308
42.16089201,-79.97171268,189.3224
42.16088491,-79.971732,189.304
42.1608778,-79.97175139,189.2922
42.1608707,-79.97177079,189.2756
42.16086358,-79.97179017,189.2666
42.16085645,-79.97180954,189.255
42.16084929,-79.97182891,189.2475
42.16084217,-79.97184828,189.2407
42.16083503,-79.97186768,189.2343
42.1608279,-79.97188707,189.2322
42.16082077,-79.97190645,189.2285
42.16081363,-79.97192585,189.2209
42.16080649,-79.97194525,189.2138
42.16079934,-79.97196464,189.214
42.16079217,-79.97198401,189.2153
42.16078502,-79.9720034,189.2115
42.16077791,-79.97202275,189.2044
42.16077076,-79.97204215,189.2082
42.1607636,-79.97206152,189.2092
42.16075645,-79.97208089,189.2078
42.16074927,-79.97210029,189.2054
42.16074212,-79.97211966,189.1999
42.16073494,-79.97213904,189.1971
42.16072775,-79.97215842,189.1879
42.16072059,-79.97217777,189.1807
42.16071342,-79.97219721,189.1752
42.16070627,-79.97221656,189.1664
42.1606991,-79.97223599,189.1653
42.16069193,-79.9722554,189.1572
42.1606848,-79.97227481,189.152
42.16067762,-79.97229423,189.1521
42.1606705,-79.97231366,189.1516
42.16066338,-79.97233308,189.1415
42.16065624,-79.9723525,189.141
42.16064913,-79.9723719,189.137
42.160642,-79.9723913,189.1319
42.16063485,-79.97241069,189.1261
42.1606277,-79.97243011,189.1259
42.16062058,-79.97244949,189.116
42.16061344,-79.9724689,189.115
42.16060628,-79.97248833,189.1099
42.16059911,-79.97250772,189.1075
42.16059195,-79.97252713,189.1068
42.1605848,-79.97254652,189.1031
42.16057768,-79.97256594,189.0945
42.16057055,-79.97258534,189.0957
42.16056342,-79.97260473,189.0956
42.16055627,-79.97262415,189.0924
42.16054913,-79.97264356,189.0849
42.16054202,-79.97266298,189.0765
42.16053489,-79.9726824,189.0678
42.16052774,-79.97270186,189.0715
42.16052059,-79.9727213,189.0628
42.16051343,-79.97274075,189.0581
42.16050629,-79.9727602,189.0557
42.16049915,-79.97277968,189.0413
42.16049201,-79.97279912,189.0321
42.16048487,-79.97281858,189.0233
42.16047773,-79.97283805,189.0112
42.16047058,-79.97285753,189.0009
42.1604634,-79.972877,188.9903
42.16045623,-79.97289649,188.9843
42.16044907,-79.97291592,188.9771
42.16044191,-79.97293541,188.9704
42.16043477,-79.97295488,188.967
42.16042762,-79.97297437,188.9528
42.16042046,-79.97299384,188.9404
42.1604133,-79.97301331,188.9357
42.16040611,-79.97303277,188.9303
42.16039897,-79.97305222,188.917
42.16039182,-79.9730717,188.909
42.16038469,-79.97309118,188.8938
42.16037753,-79.97311065,188.8862
42.16037032,-79.97313011,188.8836
42.16036319,-79.97314959,188.8774
42.16035602,-79.97316907,188.8747
42.16034886,-79.97318859,188.8718
42.16034171,-79.97320803,188.8592
42.16033458,-79.97322759,188.8573
42.16032745,-79.97324707,188.8497
42.16032029,-79.97326655,188.841
42.1603131,-79.97328606,188.8344
42.16030596,-79.97330557,188.8217
42.16029884,-79.97332509,188.8114
42.16029171,-79.97334462,188.7989
42.16028454,-79.97336416,188.7961
42.16027738,-79.97338369,188.7851
42.16027021,-79.9734032,188.7752
42.16026306,-79.97342271,188.7679
42.16025589,-79.97344223,188.7624
42.16024871,-79.97346172,188.7583
42.16024153,-79.97348122,188.7476
42.16023435,-79.9735007,188.7362
42.16022717,-79.97352017,188.7238
42.16021997,-79.9735397,188.7189
42.16021281,-79.97355919,188.7092
42.16020563,-79.97357867,188.7034
42.16019847,-79.97359817,188.6994
42.16019128,-79.97361764,188.6923
42.1601841,-79.97363715,188.6914
42.16017693,-79.97365661,188.6883
42.16016975,-79.9736761,188.6892
42.16016261,-79.97369556,188.6844
42.16015544,-79.97371505,188.6781
42.16014826,-79.97373451,188.6713
42.16014106,-79.973754,188.6727
42.1601339,-79.97377349,188.6754
42.16012673,-79.97379299,188.6755
42.16011961,-79.97381247,188.6784
